"work_company","cnt"
"Luaj Pjeshk Luaj","19"
"Spitali Rajonal Shkoder","19"
"Garden Line shpk, Profesionistët e Gjelbërimit","19"
"notere","18"
"MotoGP","18"
"ushtarak","18"
"Teoren","18"
"Policia e Mbrojtjes nga Zjarri dhe për Shpëtim","18"
"University of Oxford","18"
"Mesues Matematike","18"
"PUSHIM","18"
"SKY Italia S.r.l.","18"
"Kompania Neranxi","18"
"McDonald's","18"
"Paradite Pa pune mbazdite pushim","18"
"auto servis","18"
"Hekurudha Shqiptare","18"
"Peshkopi","18"
"Texas HoldEm Poker","18"
"VIP Saloti","18"
"Agjencia Kombëtare e Burimeve Natyrore - AKBN  faqja zyrtare","18"
"Guzhinier","18"
"SECURITY","18"
"Servis & computer fc","18"
"Sherbimi Kombetar I Punesimit","18"
"Bashkia Kukës","18"
"Drejtoria Arsimore","18"
"Delvina","18"
"Patras, Greece","17"
"Philip Morris International","17"
"Anonymous","17"
"Stematolog","17"
"Administrim Biznesi","17"
"ska","17"
"saldatore","17"
"Fastweb","17"
"Autista","17"
"Fotomodels and Models Fashion Agency","17"
"Tirana International Hotel & Conference Centre","17"
"Fakulteti I Shkencave Mjeksore Teknike","17"
"DRSKSH Fondi i Sigurimit të Detyrueshëm të kujdesit Shëndetësor","17"
"Universiteti Polis","17"
"MASH - Ministria e Arsimit","17"
"MUZIKANT","17"
"The Ekonomist","17"
"saldator","17"
"SPITALI KORCE","17"
"Vodafone it","17"
"SHKOLLA ''EMIN DURAKU''","17"
"Liverpool FC","17"
"K.F Vllaznia Shkoder","17"
"League of Legends","17"
"Muratore","17"
"Bashkia Korça","17"
"Porsche Albania","17"
"RENEA","17"
"Pespa Alumin","17"
"Ne Shtepi","17"
"Kompleksi Taiwan","17"
"Verdall","17"
"Pharmacist","17"
"Pull&Bear","17"
"Real Madrid","17"
"Peace Corps","16"
"Conad","16"
"Globe","16"
"One Direction","16"
"Teuta Basketboll","16"
"inxhinjeri mekanike","16"
"Pelikani Security","16"
"Akademia e Arteve","16"
"Sali Berisha","16"
"Fakulteti i Mjekesise","16"
"elektroauto","16"
"Banka Kombetare Tregtare  – BKT","16"
"SHEFAT NUK PUNOJN","16"
"Dolce & Gabbana","16"
"UEFA Champions League","16"
"Zyre Kontabiliteti","16"
"GNV","16"
"LUFRA","16"
"Save the Children US","16"
"Fernanda Ohara Soprano","16"
"Mesuese matematike","16"
"deputet","16"
"cofra","16"
"Instagram","16"
"DBA","16"
"Inxhinier Elektrik","16"
"nShpi","16"
"Teatri Kombetar i Operas, Baletit dhe Ansamblit Popullor","16"
"Drejtoria Rajonale Tatimore Tirana","16"
"Junik sh.p.k","16"
"ndertues","16"
"Salillari Group","16"
"Xemla Online","16"
"University of Arts of Albania","16"
"Universiteti Amerikan","16"
"Ka Kush Punon Per Mu","15"
"Kisha Orthodhokse Autoqefale e Shqipërisë","15"
"Mjeksi","15"
"Ardeno Mobilime","15"
"Fakulteti i shkencave te natyres (FSHN)","15"
"Shine Bright Llike α Diαmσnd In The Skч","15"
"Shef Krimesh","15"
"Instat","15"
"(’•.(’•.* (Paradite Pa pune => Mbasdite pushim) *.•’).• ‘)","15"
"Banka Credins","15"
"Federata Shqiptare e Peshengritjes / Albanian Weightlifting Federation","15"
"Google AdSense","15"
"We are LocalWeb","15"
"sigurimet shoqerore","15"
"Forcat e Armatosura","15"
"Korporata Elektroenergjitike Shqiptare","15"
"Drejtoria e Përgjithshme e Arkivave","15"
"Eagle Mobile","15"
"TITAN Antea Cement SH.A","15"
"Angjelin Marku Punime guri","15"
"Ministria e Kulturës","15"
"Boksier","15"
"Pa pune Punojm Kur Duam","15"
"Liceu Artistik Jordan Misja","15"
"Wrestling","15"
"mekanik makinash","15"
"Pigeon racing","15"
"Klan Tv","15"
"KRACO","15"
"DAST","15"
"PlayStation","15"
"SIGAL UNIQA GROUP Austria","15"
"WWE","15"
"BASHKIA PATOS (MUNICIPALITY PATOS)","15"
"iPhone","15"
"AZA Electronics","15"
"Spitali Continental","15"
"Ne Shpi","15"
"EuroBicaku","15"
"Societe Generale Albania","15"
"Nazeri 2000 - Security","15"
"IuteCredit Albania","15"
"Instituti I Shendetit Publik","15"
"Victoria Invest International Group","15"
"Pa pune hallexhi","15"
"Slotomania - Slot Machines","14"
"Spitali Nene Tereza Tirana Q.S.U.T","14"
"Prodata Securities sh.a.","14"
"alb-building","14"
"Prodhime Bulmeti Erzeni","14"
"Hygeia Hospital Tirana","14"
"Financiere","14"
"Bashkia Roskovec","14"
"Jeta Nje Here Jetohet","14"
"kryeminister","14"
"Belle Air","14"
"Qendra Spitalore Elbasan","14"
"Ministria e Punëve të Brendshme","14"
"UNIVERS Reklama - Indoor & Outdoor Advertising","14"
"Samsung Global","14"
"BKT","14"
"HAKO","14"
"mjeke","14"
"Forcat e Armatosura të Republikës së Shqipërisë","14"
"Bank of Albania","14"
"Turgut Özal High School","14"
"''ADEM SHEME''","14"
"Gazetare","14"
"Amsterdam, Netherlands","14"
"Mesuse","14"
"Administratore","14"
"Paradite Pushim Mbasdite Pa pune Naten Pa Gjume","14"
"Materniteti Koco Glozheni","14"
"Eminem","14"
"Edukatore kopshti","14"
"OTR","14"
"Vizion +","14"
"inxhinier","14"
"Studio Moderna Albania","14"
"Landmark Communications","14"
"Universiteti i Tiranas","14"
"Aleksander Xhuvani University","14"
"QENDER SHENDETESORE","14"
"Drejtoria e Policisë Qarkut Durres","14"
"Estetiste","14"
"Sheraton Hotels & Resorts","14"
"TOP Model Fashion","14"
"Eurosig Sh.a","14"
"Polytechnic UNIVERSITETI I TIRANES","14"
"Abissnet","14"
"ISKSH","14"
"Arsimtar bio-kimie","14"
"PUNE PRIVATE","14"
"Dogana Shqiptare","14"
"paradite pushim, pasdite Pa pune, naten pa gjum","14"
"Profarma Sh.a","14"
"Biznesi Juaj","14"
"Electrical engineering","14"
"Krienko Jeans","14"
"Mercedez-Benz","14"
"Arsenal","14"
"Avokati i Popullit","14"
"Shell","14"
"Agikons","13"
"Greece","13"
"Skifterat","13"
"Smartcom","13"
"Teatri i Operas dhe Baletit","13"
"Albcontrol","13"
"Fakulteti Inxhinierise se Ndertimit","13"
"Ecomarket Albania","13"
"Pepsi","13"
"Farma Net Albania","13"
"Kontabel i Miratuar","13"
"Kryeministria","13"
"ERA","13"
"Scuderia Ferrari","13"
"vetepunesuar","13"
"AUTO KADIU","13"
"PUMA","13"
"Paradite Pa pune Mbasdite Pushim","13"
"Biznes Media Group","13"
"Alumil","13"
"i vet punesuar","13"
"shitese","13"
"Biblioteka Kombetare","13"
"FED invest","13"
"PRIVATA","13"
"Shkolla Pjeter Budi (Guri I Bardhe)","13"
"Agjencia e Parqeve dhe Rekreacionit - Bashkia Tirana","13"
"Ventouris Ferries","13"
"FBI","13"
"Puka","13"
"Forumi Rinor i Partise Demokratike","13"
"Ministria E Brendeshme","13"
"Nexa Arkitekture & Planning","13"
"Ismail Qemali","13"
"vetpunesuar","13"
"Balfin Group","13"
"KF Kastrioti Kruje","13"
"albawings","13"
"Coin Tirana","13"
"Ami Event","13"
"Fax News","13"
"Spitali Rajonal Lezha","13"
"Arstl Group","13"
"ndertimtari","13"
"KF Teuta","13"
"Parukjere","13"
"Juventus F.C.","13"
"Las Vegas, Nevada","13"
"Brunes","13"
"Mon Chéri - Coffee Shop","13"
"Libero Professionista","13"
"DHL","13"
"Turgut Ozal","13"
"Marketing & Distribution {M&D}","13"
"FashionTV","13"
"kush ja ka pa hajrin punes","13"
"Dentistry","13"
"World Academy of Tirana","13"
"Ekonomik","13"
"Oficer Policie","13"
"National Bank of Greece","13"
"Durres, Durres, Albania","13"
"Barcelona, Spain","13"
"kredo.al","13"
"Agon Channel","13"
"Alpet Albania","12"
"Eurolloto","12"
"shofer komjoni","12"
"Oficer","12"
"OTR RecordS","12"
"Menaxher MARKETINGU","12"
"Albanian Armed Forces","12"
"Barça","12"
"Armo ''sha''","12"
"GIZ","12"
"The Albanian","12"
"Land Rover","12"
"Remal Sh.p.k","12"
"Photography","12"
"diten Pa pune naten pa gjum","12"
"FastCall","12"
"Doktor","12"
"Shkolla ""NDRE MJEDA""...","12"
"Policia e Shtetit Shqiptar","12"
"ne pension","12"
"Football player","12"
"Sport Vision Albania","12"
"Prosound","12"
"Life Gallery Hotel","12"
"Inspektorati Kombëtar i Mbrojtjes së Territorit - IKMT","12"
"Intermedica","12"
"Ne shkolle","12"
"Billa Albania","12"
"Kilkís, Greece","12"
"HASAN PRISHTINA","12"
"Sophie Caffe","12"
"Universiteti Bedër-Faqja Zyrtare","12"
"Music on Facebook","12"
"JUVENTUS CLUB ALBANIA","12"
"Me stesso","12"
"PUN PRIVATE","12"
"Drejtoria e Përgjithshme e Taksave dhe Tarifave Vendore - Bashkia Tirana","12"
"International Commercial Bank Albania","12"
"OTP Bank Albania","12"
"Kolegji Turk ""Turgut Ozal""","12"
"Menager Lokali","12"
"Rafaelo Resort","12"
"Fakulteti i Gjuheve te Huaja","12"
"Fashion Designer","12"
"Matrix Night Club","12"
"Vllaznia Taekwondo","12"
"CFO Pharma","12"
"Porto Lissus academy","12"
"SHLUJ ""Universiteti Marin Barleti""","12"
"DIXHEJ","12"
"Ministria e Infrastrukturës","12"
"Materniteti ""Mbreteresha Geraldine""","12"
"Barista","12"
"European UNIVERSITETI I TIRANES","12"
"Rezidenca Studentore Universitare Nr.2","12"
"Gega Oil","12"
"Albanian College Tirana","12"
"Rogner Hotel Tirana","12"
"Raiffeisen Bank - Hungary","12"
"Operator","12"
"Rome, Italy","12"
"Politecnico di Milan","12"
"Geneva, Switzerland","12"
"Akademia Hollywood","12"
"Freelance","12"
"Limak Holding","12"
"bashkia vore","11"
"Arsimtar e edukimit fizik","11"
"Botime Pegi","11"
"ProCredit Bank Albania","11"
"Juventus Football Club","11"
"Police of State Albania","11"
"OSCE Presence in Albania","11"
"Jumbo Albania","11"
"fizioterapi","11"
"studente","11"
"Ha Pi Rri","11"
"Hellenic Unique HAIR Academy","11"
"TREGI Marketing GROUP Tirana","11"
"Kontakt Al","11"
"ONE Telecommunications","11"
"Harvard University","11"
"Birra Korca","11"
"Dekoll","11"
"muzikant Kengetar","11"
"Gama Market","11"
"3P Life Logistic","11"
"F.B.I.","11"
"Statkraft","11"
"Ioannina, Greece","11"
"Self employed","11"
"Avis Rent A Car Albania","11"
"Mobileri Tirana","11"
"shef guzhine","11"
"bashkia pogradec","11"
"Agjencia Kombetare e Shoqerise se Informacionit","11"
"Kompani Biznes","11"
"Aleat Safran Group Albania","11"
"Universiteti Luigj Gurakuqi","11"
"Fundjavë Ndryshe","11"
"OSHEE, Sh.a","11"
"skam nevoj per pun kan punuar per mua","11"
"KESH sh.a.","11"
"Spitali Universitar i Traumes Tirana","11"
"Bigg Boss","11"
"ALKOS GROUP Albania","11"
"Spital","11"
"Biznes Owner","11"
"Medreseja ""Haxhi Sheh Shamia"" - dega e djemve","11"
"Armata e Veriut","11"
"Hospital","11"
"OST","11"
"paradite rri masdite pushoj","11"
"I.E.V.P Fieri","11"
"spitali Kavajae","11"
"DAR Kukes","11"
"Music Production","11"
"Finance","11"
"IMB","11"
"Bilisht Sport U-17","11"
"policia","11"
"Albanian Taekwondo Federation - WTF","11"
"Sherbimi Gjeologjik Shqiptar","11"
"Noter","11"
"Dee Jay","11"
"per momentin Pa pune","11"
"Real Madrid FC","11"
"Biznesmen ndertimi","11"
"Teknik","11"
"CHANEL","11"
"F.C. Internazionale","11"
"XL World","11"
"Ministria Infrastruktures","11"
"Jam Biznesmen vet","11"
"Gjirokaster","11"
"Fuat Babani Bilisht","11"
"mjek","11"
"Drejtoria Rajonale Tatimore Durres","11"
"BASHKIA VAU DEJES","11"
"Vet punesim","11"
"Papune","11"
