"cnt","id","current_district","current_country","current_state","hometown_district","hometown_country","hometown_state","facebook_current_address","facebook_hometown_address"
"139","2097","Londer","Londer","United Kingdom","Kukës","Kukës","Kukës","Londer, United Kingdom","Kukës"
"134","363","Tirana","Tirana","Tirana","Kamëz","Kamëz","Tirana","Tirana","Kamëz, Tirana"
"130","891","Tirana","Tirana","Tirana","Bajram Curri","Bajram Curri","Albania","Tirana","Bajram Curri, Albania"
"127","536","Tirana","Tirana","Tirana","Memaliaj","Memaliaj","Memaliaj","Tirana","Memaliaj"
"126","5715","Vlora","Vlora","Albania","Fieri","Fieri","Fieri","Vlora, Albania","Fieri"
"123","2","Sauk","Sauk","Tirana","Tirana","Tirana","Tirana","Sauk, Tirana","Tirana"
"121","116","Tirana","Tirana","Tirana","Bilisht","Bilisht","Bilisht","Tirana","Bilisht"
"118","2323","Durres","Durres","Albania","Elbasan","Elbasan","Albania","Durres, Durres, Albania","Elbasan, Albania"
"117","631","Tirana","Tirana","Tirana","Poliçan","Poliçan","Poliçan","Tirana","Poliçan"
"114","1845","Athens","Athens","Greece","Tirana","Tirana","Tirana","Athens, Greece","Tirana"
"112","9226","Tirana","Tirana","Tirana","Athens","Athens","Greece","Tirana","Athens, Greece"
"110","4745","Tirana","Tirana","Tirana","Prrenjas","Elbasan","Albania","Tirana","Prrenjas, Elbasan, Albania"
"109","5439","Tirana","Tirana","Tirana","New York","New York","New York","Tirana","New York, New York"
"109","2048","Durres","Durres","Durres","Tropoja","Kukës","Albania","Durres","Tropoja, Kukës, Albania"
"108","6540","Durres","Durres","Durres","Puka","Puka","Puka","Durres","Puka"
"108","4258","Durres","Durres","Durres","Lushnja","Lushnja","Lushnja","Durres","Lushnja"
"106","7132","Vlora","Vlora","Albania","Tirana","Tirana","Tirana","Vlora, Albania","Tirana"
"106","6964","New York","New York","New York","Tirana","Tirana","Tirana","New York, New York","Tirana"
"103","1729","Durres","Durres","Albania","Permet","Gjirokastër","Albania","Durres, Durres, Albania","Permet, Gjirokastër, Albania"
